scenario_model,scenario_depth,denominator,combo,rank,overall_score,score_replicon,is_eligible,is_near_tie,is_winner,scoring_version,source_data_hash,source_data_commit
hac,100x,2.0,filtlong-dorado,14,63.931434335943074,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,2.0,filtlong-barbell,15,63.88193568037758,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,2.0,filtlong-porechop_abi,16,63.65692059390283,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,2.0,filtlong-untrimmed,17,63.64931676023852,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,seqkit-barbell,1,98.67314423936413,100.0,True,True,True,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,seqkit-dorado,2,98.64727472335814,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,chopper-barbell,3,98.54389521946301,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,chopper-dorado,4,98.45765352098522,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,seqkit-porechop_abi,5,98.41683726774596,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,unprocessed-barbell,6,98.16699242405319,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,unprocessed-dorado,7,97.16943252382694,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,unprocessed-untrimmed,8,95.82708259283675,100.0,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,seqkit-untrimmed,9,94.50022349865885,100.0,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,chopper-untrimmed,10,92.35026609221545,100.0,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,fastplong-all,11,86.74155017816047,66.66666666666667,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,chopper-porechop_abi,12,86.65745526585663,66.66666666666667,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,unprocessed-porechop_abi,13,86.61662073018516,66.66666666666667,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,filtlong-dorado,14,63.931434335943074,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,filtlong-barbell,15,63.88193568037758,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,filtlong-porechop_abi,16,63.65692059390283,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,3.0,filtlong-untrimmed,17,63.64931676023852,0.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,seqkit-barbell,1,98.67314423936413,100.0,True,True,True,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,seqkit-dorado,2,98.64727472335814,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,chopper-barbell,3,98.54389521946301,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,chopper-dorado,4,98.45765352098522,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,seqkit-porechop_abi,5,98.41683726774596,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,unprocessed-barbell,6,98.16699242405319,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,unprocessed-dorado,7,97.16943252382694,100.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,unprocessed-untrimmed,8,95.82708259283675,100.0,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,seqkit-untrimmed,9,94.50022349865885,100.0,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,chopper-untrimmed,10,92.35026609221545,100.0,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,100x,4.0,fastplong-all,11,89.65821684482715,75.0,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
